"Title / Source","Why It's a Top Resource","Year","Link"
"--- Essential Datasets & Challenges ---","","",""
"RSNA Bone Age Dataset","The primary benchmark dataset with over 12,600 labeled hand X-rays. It is the most widely used resource for training and validating bone age models.","2018","https://www.kaggle.com/datasets/kmader/rsna-bone-age"
"RSNA Pediatric Bone Age Challenge (2017)","The original challenge that spurred much of the innovation in this field. The results and discussions provide valuable insights into baseline models.","2017","https://www.rsna.org/rsnai/ai-image-challenge/rsna-pediatric-bone-age-challenge-2017"
"--- State-of-the-Art Models & Architectures ---","","",""
"BAE-ViT: An Efficient Multimodal Vision Transformer","Introduces a Vision Transformer (ViT) that incorporates both image and demographic data (age, gender), outperforming traditional CNNs.","2024","https://pubmed.ncbi.nlm.nih.gov/39728908/"
"Bone age assessment based on deep neural networks with region extraction","A highly-cited paper detailing a modern, two-stage pipeline: it first localizes key bone regions and then feeds them into a gender-assisted network.","2023","https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2023.1142895/full"
"Bone age estimation with HS-optimized ResNet and YOLO","A cutting-edge hybrid approach that uses YOLO for precise Region of Interest (ROI) detection before classification with an optimized ResNet.","2025","https://www.sciencedirect.com/science/article/abs/pii/S095741742402027X"
"Self-accumulative Vision Transformer for Bone Age Assessment","Presents an advanced Vision Transformer architecture that uses multi-view and multi-task learning, achieving high accuracy with fewer parameters.","2023","https://arxiv.org/abs/2303.16557"
"--- Advanced Techniques & Methodologies ---","","",""
"An Unsupervised Deep-Learning Method for Bone Age","A novel approach using an unsupervised autoencoder to cluster bone age intervals, reducing the need for large labeled datasets.","2022","https://arxiv.org/abs/2206.05641"
"A ROI Extraction Method for Wrist Imaging Applied in Smart Bone-Age Assessment","Details a highly accurate YOLO-based model specifically for detecting and extracting wrist ROIs, which is a critical preprocessing step.","2024","https://pubmed.ncbi.nlm.nih.gov/37289606/"
"Impact of Ensemble Learning in the Assessment of Skeletal Maturity","Demonstrates how combining multiple models (bagging, stacking) can significantly improve the accuracy and robustness of bone age predictions.","2014","https://pubmed.ncbi.nlm.nih.gov/25012476/"
"--- Clinical Validation & Practical Application ---","","",""
"Deeplasia: deep learning for bone age assessment","Presents an open-source tool validated on patients with skeletal dysplasias, demonstrating the model's utility in challenging clinical cases.","2024","https://pubmed.ncbi.nlm.nih.gov/37953411/"
"A comparison of two AI-based methods: BoneXpert and VUNO Med-Bone Age","Provides real-world context by evaluating and comparing two commercial AI systems, showing their high level of agreement with manual methods.","2024","https://dirjournal.org/articles/a-comparison-of-two-artificial-intelligence-based-methods-for-assessing-bone-age-in-turkish-children-bonexpert-and-vuno-med-bone-age/dir.2024.242790"
"CNNs vs ViT - Medical Image Classification Repository","An invaluable practical resource, this GitHub repository provides code for comparing CNN and Vision Transformer performance on medical imaging tasks.","2023","https://github.com/amine0110/CNNs_vs_ViT"